"","species","trait","intercept","intercpet_stderror","intercpet_tval","micrositeU","micrositeU_stderror","micrositeU_tval","R_marginal","R_conditional","p_val"
"1","Themeda","SA",506.131139260473,49.0709294806944,10.3142765913899,79.1530869565225,57.4426575951349,1.37794959826556,0.0193135342742971,0.0743720032479635,0.168218850063486
"2","Themeda","Chlorophyll",338.302386745116,17.2001853206169,19.6685314977165,-16.608695652174,11.6581807209166,-1.42463871934798,0.0152876768875373,0.314553757131073,0.154261661565002
"3","Themeda","Toughness",3.66515493574574,0.350553505615252,10.4553367090512,-0.398735894920691,0.431260578398928,-0.924582294076156,0.00921894784951916,0.0512737273082928,0.355183226587021
"4","Themeda","PHeight",0.429763177080811,0.0446462205134496,9.62596995083482,0.0263043478260868,0.0235072308328486,1.1189896425116,0.00754592009577548,0.451594930109915,0.26314455772646
"5","Themeda","LDMC",0.488582557968328,0.0347119516835403,14.0753410359235,-0.0207331947735619,0.0312650671779019,-0.663142498801861,0.00404305467884878,0.163362581773541,0.507239294266855
"6","Themeda","SLA",1153.55964643762,104.765476688089,11.0108757474757,208.569840897236,148.160758000778,1.40772660528735,0.0213127348601853,0.0213127348601853,0.159212040558115
"7","Miscanthus","SA",1890.42851345557,137.469253353382,13.7516460396856,69.5549024390238,160.536425693488,0.433265547918857,0.00217082819187486,0.0632964657564642,0.664821864031689
"8","Miscanthus","Chlorophyll",386.217614913308,14.44597360767,26.735312233178,-6.51219512195122,13.5315885121572,-0.481258731456432,0.00241235089476881,0.156338454073689,0.630332623646998
"9","Miscanthus","Toughness",8.04769681231973,0.709447936977836,11.3436045026813,-0.209963937633621,0.875518057829925,-0.239816798472485,0.00177061374929423,0.0300620917326946,0.810472283637901
"10","Miscanthus","PHeight",0.888838335436203,0.0654080592739384,13.5891256414385,0.0829268292682925,0.0579613630256312,1.43072600331399,0.0202726237474174,0.197801144555506,0.152508757658867
"11","Miscanthus","LDMC",0.400065479786705,0.0157239770670919,25.4430210677416,-0.0169782097140729,0.0112781247441427,-1.50541070428313,0.019366567147846,0.307806263263738,0.132218518741323
"12","Miscanthus","SLA",4765.26219844789,333.509810481149,14.2882219613664,371.897388627377,415.077479033749,0.895971011226893,0.00943612107929966,0.0478823701609301,0.370268245914843
"13","Commelina","SA",432.961277027704,32.022900759023,13.5203640758781,-33.4663207547172,38.7360513937959,-0.863957981016033,0.00678260204194814,0.0458857250184306,0.387610973643155
"14","Commelina","Chlorophyll",259.376648790135,13.3803899520958,19.3848348006859,-4.3962264150943,12.8916276102186,-0.341014071148752,0.000979331450827505,0.115751357066307,0.733092988750005
"15","Commelina","Toughness",4.06132075471698,0.194754052719689,20.8535878868845,-0.405283018867921,0.275423822683309,-1.47148861314705,0.0202050399542428,0.020205039954243,0.141159024717721
"16","Commelina","PHeight",0.114868558662073,0.0131861133181091,8.71132803813527,0.000377358490566063,0.0120045938034452,0.0314345072182088,8.11957018567442e-06,0.137202205656968,0.974923021960521
"17","Commelina","LDMC",0.162079501633178,0.0108537855800937,14.9329927735479,-0.00388385226780504,0.0152040739249664,-0.255448131005692,0.000633130422344683,0.000633130422344683,0.798377000324849
"18","Commelina","SLA",3125.1169123287,303.186955998334,10.3075572695346,84.5811955165501,424.70683229071,0.199151953973405,0.000384914897756416,0.000384914897756416,0.842143881697353
"19","Helichrysum","SA",46.3903468726394,7.26890039632786,6.38203089095499,0.702833333333388,5.35847278311198,0.131162993968817,0.000167865187336325,0.307218398731096,0.89564636953423
"20","Helichrysum","Chlorophyll",245.675218805353,17.9803655023818,13.66352751688,13.8611111111111,19.4090438147927,0.714157340432547,0.00638962461320169,0.110500139689655,0.475129892365262
"21","Helichrysum","Toughness",0.890977327130125,0.145234392523295,6.13475439012986,-0.118629769303854,0.156143247096668,-0.759749598587575,0.0113018927846732,0.120325227420148,0.447404275261685
"22","Helichrysum","PHeight",0.303895565661429,0.0264418838239694,11.492961987298,0.0536111111111113,0.032679962334909,1.64048876683812,0.0348392352843333,0.0808625945588894,0.100903582200019
"23","Helichrysum","LDMC",0.384976974693651,0.0696888279393261,5.52422800149297,0.00152897312448029,0.0661613051326421,0.0231097787659261,1.21052879883435e-05,0.315600579351932,0.981562705443052
"24","Helichrysum","SLA",256.441248365942,198.190704117375,1.29391158635811,242.380710195643,126.086166136512,1.92234182085623,0.0496731431483792,0.601489575339218,0.0545627609842751
"25","Pseudognath","SA",190.166945335506,69.3495920796888,2.74214944360433,17.7332380952381,19.803483694719,0.895460534550647,0.00223923471320448,0.768215275787715,0.370540953531721
"26","Pseudognath","Chlorophyll",202.47619047619,7.74345655422128,26.1480372568,3.42857142857143,10.9509012786266,0.313085776351865,0.00117960331864663,0.00117960331864663,0.754215495093444
"27","Pseudognath","Toughness",1.73455946166476,0.456552297697203,3.79925688779505,-0.00130952380952361,0.15417492528307,-0.00849375348889768,2.62681195324447e-07,0.697790737303704,0.993223046713956
"28","Pseudognath","PHeight",0.2542242700132,0.0301129298644839,8.44236250531833,0.103333333333333,0.0229684633278935,4.49892236403304,0.155869073035521,0.36082313484025,6.82987921514019e-06
"29","Pseudognath","LDMC",0.301948634487416,0.029055007934849,10.392309482912,-0.0646622921341622,0.0265258543429215,-2.43770818078919,0.060004466154832,0.212692148318638,0.0147807006745316
"30","Pseudognath","SLA",663.511230736258,205.380451560656,3.23064452188284,423.146874285001,244.752271983386,1.72887822799751,0.035029448450761,0.0861192886332318,0.0838308914585536
"31","Tristachya","SA",620.06602631579,49.4529385650376,12.5385072011507,71.5731842105264,69.9370164178797,1.02339487551014,0.0137721728538575,0.0137721728538575,0.306121181350252
"32","Tristachya","Chlorophyll",337.503469144952,11.1851800962459,30.1741649433279,3.94736842105273,14.2691368377665,0.276636804729851,0.000985290375076731,0.0343814850954711,0.782059001057533
"33","Tristachya","Toughness",5.66852967479251,0.498997097048412,11.3598449937326,0.187917754260077,0.634300306799753,0.29625991386979,0.00118491461237308,0.0419431498782235,0.767031596605666
"34","Tristachya","PHeight",0.425191466737098,0.0323438799356285,13.1459635511671,0.0663157894736848,0.0288369059290773,2.29968463457157,0.0540417725000748,0.233602143654159,0.0214660932611432
"35","Tristachya","LDMC",0.467308543803357,0.0150904690442393,30.9671317991105,-0.0600328844726195,0.0213411459849346,-2.81301128416434,0.095437740578155,0.095437740578155,0.00490799288037768
"36","Tristachya","SLA",1377.91009153809,124.723025481261,11.0477603170805,410.080767525273,176.384994175804,2.3249186782666,0.0672250514935581,0.0672250514935581,0.0200763090181329
"37","Oxalis","SA",232.171893402384,26.969787604691,8.60859183637029,58.2451,26.0533650433598,2.2356075655895,0.0680055108824844,0.197204410438996,0.0253774885840962
"38","Oxalis","Chlorophyll",202.648612889761,12.4101569190748,16.3292546751189,6.82758620689649,14.8498616574341,0.459774398199762,0.00350403656874551,0.0551694737217687,0.645678161493528
"39","Oxalis","Toughness",1.61462152305987,0.1924494768559,8.38984625699372,0.155639589743063,0.236818493917177,0.657210453325048,0.00815387869114131,0.0408453707381285,0.511045605047504
"40","Oxalis","PHeight",0.0882474814156116,0.0129117110550265,6.83468527443983,0.0113333333333334,0.010806387562299,1.04876243499472,0.0144696003074982,0.223834562104464,0.294287470635817
"41","Oxalis","LDMC",0.160329369870799,0.0257933289581802,6.21592389763833,-0.0366318157911549,0.0358428398321273,-1.0220120939837,0.0186371286696919,0.0186371286696919,0.306775176405457
"42","Oxalis","SLA",2612.00954187553,1226.19255450138,2.13017892849438,2423.11538563921,1354.65433851134,1.78873334455343,0.0508776779686604,0.127564281930783,0.0736577701673479
